1,20436,g1
23994,24578,g1
26462,27165,g1
28980,30319,g1
31855,33427,g1
36372,36511,g1
37818,54636,g1
55851,95259,g1
96520,113404,g1
118599,122685,g1
126846,128090,g1
133937,134060,g1
136251,164007,g1
165406,166973,g1
167982,203424,g1
204266,218379,g1
221116,224422,g1
229282,229649,g1
230847,231957,g1
234640,238411,g1
240867,242122,g1
244932,259580,g1
262140,289959,g1
292757,293761,g1
294908,309413,g1
309573,325003,g1
327015,327044,g1
328266,328449,g1
330202,331677,g1
332802,339586,g1
340051,350498,g1
352020,353989,g1
355215,367566,g1
372218,372266,g1
373329,373999,g1
375137,381634,g1
383998,385276,g1
387988,389598,g1
392889,394458,g1
397761,401927,g1
402351,403609,g1
408739,412754,g1
413330,417888,g1
422626,424164,g1
427771,427799,g1
429852,431024,g1
431704,432309,g1
433552,434907,g1
439405,439546,g1
441207,441327,g1
442569,445794,g1
447088,449560,g1
451591,452664,g1
457769,459880,g1
464145,464859,g1
467168,471972,g1
475983,476489,g1
482347,486218,g1
487781,489417,g1
495768,497644,g1
505537,506163,g1
506788,509133,g1
517195,517666,g1
519979,521330,g1
521532,522034,g1
525282,526806,g1
527364,533056,g1
535388,537039,g1
543133,543464,g1
543973,544210,g1
548001,548995,g1
549473,555090,g1
557048,563044,g1
564742,567474,g1
568164,571413,g1
572179,572621,g1
576597,576790,g1
577976,578646,g1
581800,586978,g1
587106,588004,g1
589388,590065,g1
592165,593595,g1
594121,594154,g1
594299,603001,g1
604178,609142,g1
611764,611781,g1
611983,613798,g1
614216,618454,g1
619889,625950,g1
626058,626405,g1
628832,632693,g1
635002,636875,g1
638967,649683,g1
649900,651015,g1
653210,660338,g1
