20437,23993,g2
24579,26461,g2
27166,28979,g2
30320,31854,g2
33428,36371,g2
36512,37817,g2
54637,55850,g2
95260,96519,g2
113405,118598,g2
122686,126845,g2
128091,133936,g2
134061,136250,g2
164008,165405,g2
166974,167981,g2
203425,204265,g2
218380,221115,g2
224423,229281,g2
229650,230846,g2
231958,234639,g2
238412,240866,g2
242123,244931,g2
259581,262139,g2
289960,292756,g2
293762,294907,g2
309414,309572,g2
325004,327014,g2
327045,328265,g2
328450,330201,g2
331678,332801,g2
339587,340050,g2
350499,352019,g2
353990,355214,g2
367567,372217,g2
372267,373328,g2
374000,375136,g2
381635,383997,g2
385277,387987,g2
389599,392888,g2
394459,397760,g2
401928,402350,g2
403610,408738,g2
412755,413329,g2
417889,422625,g2
424165,427770,g2
427800,429851,g2
431025,431703,g2
432310,433551,g2
434908,439404,g2
439547,441206,g2
441328,442568,g2
445795,447087,g2
449561,451590,g2
452665,457768,g2
459881,464144,g2
464860,467167,g2
471973,475982,g2
476490,482346,g2
486219,487780,g2
489418,495767,g2
497645,505536,g2
506164,506787,g2
509134,517194,g2
517667,519978,g2
521331,521531,g2
522035,525281,g2
526807,527363,g2
533057,535387,g2
537040,543132,g2
543465,543972,g2
544211,548000,g2
548996,549472,g2
555091,557047,g2
563045,564741,g2
567475,568163,g2
571414,572178,g2
572622,576596,g2
576791,577975,g2
578647,581799,g2
586979,587105,g2
588005,589387,g2
590066,592164,g2
593596,594120,g2
594155,594298,g2
603002,604177,g2
609143,611763,g2
611782,611982,g2
613799,614215,g2
618455,619888,g2
625951,626057,g2
626406,628831,g2
632694,635001,g2
636876,638966,g2
649684,649899,g2
651016,653209,g2
