ID,gmu,imu,gd,id,gdfe,idfe
1,6.26173686622817e-10,6.4279618337412e-09,0.538082619139459,0.139830293052364,-0.0015454107631232,-0.0078273246771822
2,1.94219328094131e-08,3.18478376759421e-08,0.616405047848821,0.614093229046557,-0.0170406502402992,-0.00765842589791633
3,2.06846883138584e-09,9.19172145713476e-10,0.154175516217947,0.287935319764074,-0.00161355747436814,-0.0361741581180502
4,7.35842228752846e-10,1.08241316745429e-08,0.28427958402317,0.687650640215725,-0.023916025886145,-0.0122028577502522
5,1.86327242970763e-10,8.64574815141384e-08,0.108776032971218,0.695354986190796,-0.00652958133480388,-0.00604718689781941
6,1.8305679726756e-10,9.97157829284715e-09,0.74315060924273,0.510417902411427,-0.0159434139042669,-0.0328271004483837
7,1.16695495879937e-10,2.06372323853764e-10,0.522659566998482,0.424403529276606,-0.0107359500696292,-0.00172334892759736
8,1.65082937379523e-08,7.48942825752845e-09,0.737115935748443,0.402343036117964,-0.0475859612521514,-0.0592215024788468
9,2.03153947779177e-10,2.40629594404514e-08,0.16174293361837,0.722508337139152,-0.0115825561588734,-0.0430023320470903
10,3.39839478838119e-08,3.00730172450519e-09,0.130201836780179,0.654922243731562,-0.0112287555174478,-0.00112835690905832
11,9.28646114082634e-08,2.16443327929273e-08,0.36119861965999,0.345269808883313,-0.003617940980898,-0.0013814566249187
12,1.98268939730273e-08,4.10695898032123e-10,0.648004248924553,0.417253022629302,-0.0032836889810892,-0.0105043730689086
13,2.44259850088357e-08,8.87838042647167e-09,0.319858882541303,0.292608216544613,-0.0113266554616831,-0.00656937406605039
14,1.38710386761521e-08,3.92443979756129e-08,0.210545399656985,0.277769775374327,-0.0057809476941758,-0.00337714081921902
15,3.48544391058242e-09,5.25779340282687e-10,0.204870543780271,0.134144103329163,-0.0588448788424948,-0.00176189662590983
16,4.52253271140221e-08,2.8391092063727e-08,0.100412760104518,0.42148563133087,-0.00909110140643253,-0.0135907696767017
17,3.00519559285272e-10,3.51821949365234e-08,0.617726187070366,0.66056764886016,-0.00123566351441607,-0.00230381796986868
18,1.19742218030782e-10,2.81571268247247e-09,0.471707835153211,0.524579411325976,-0.0671155559054031,-0.0013205974756924
19,8.9233804397134e-09,4.46851409568956e-09,0.527015727187973,0.505195792461746,-0.0131564623699522,-0.0113151937948726
